"L-Tetramethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid,
"L-2-Hydroxytrimethylenedithio-3,3'-bis(2-aminopropanoic acid)",2-aminopropanoic acid,
L-2-Amino-3-(4-imidazolyl)propanoic acid (Histidine),Histidine,
L-2-Amino-3-(N(1)-methyl-4-imidazolyl)propanoic acid (N(1)-Methyl-L-histidine),L-2-Amino-3-(N(1)-methyl-4-imidazolyl)propanoic acid (N(1)-Methyl-L-histidine),
L-2-Amino-3-(N(3)-methyl-4-imidazolyl)propanoic acid (N(3)-Methyl-L-histidine),L-2-Amino-3-(N(3)-methyl-4-imidazolyl)propanoic acid (N(3)-Methyl-L-histidine),
"L-4-(2-Amino-3-carboxypropyl)-1,3-dimethylimidazolium ion (N(1,3)-Dimethyl-L-histidine)","L-4-(2-Amino-3-carboxypropyl)-1,3-dimethylimidazolium ion (N(1,3)-Dimethyl-L-histidine)",
L-1-Carboxy-2-(4-imidazolyl)ethyl(dimethyl)ammonium ion (N(alpha)-Dimethyl-L-histidine),L-1-Carboxy-2-(4-imidazolyl)ethyl(dimethyl)ammonium ion (N(alpha)-Dimethyl-L-histidine),
L-1-Carboxy-2-(4-imidazolyl)ethyl(trimethyl)ammonium ion (N(alpha)-Trimethyl-L-histidine),L-1-Carboxy-2-(4-imidazolyl)ethyl(trimethyl)ammonium ion (N(alpha)-Trimethyl-L-histidine),
L-2-Amino-3-(N(3)-benzyl-4-imidazolyl)propanoic acid (N(3)-Benzyl-L-histidine),L-2-Amino-3-(N(3)-benzyl-4-imidazolyl)propanoic acid (N(3)-Benzyl-L-histidine),
L-2-Amino-3-(5-iodo-4-imidazolyl)propanoic acid (5-Iodo-Histidine),5-Iodo-Histidine,
"L-2-Amino-3-(2,5-diiodo-4-imidazolyl)propanoic acid (2,5-Diiodo-Histidine)","2,5-Diiodo-Histidine",
L-2-Amino-3-(3-indolyl)propanoic acid (Tryptophan),Tryptophan,
L-2-Amino-3-(1-methyl-3-indolyl)propanoic acid (1-Methyltryptopan),1-Methyltryptopan,
DL-2-Amino-3-(5-hydroxy-3-indolyl)propanoic acid (5-Hydroxytryptopan),5-Hydroxytryptopan,
"DL-2-Amino-3-(6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid","DL-2-Amino-3-(6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid",
"L-2-Amino-3-(3-hydroxo-4-oxo-1,4-dihydro-1-pyridinyl)propanoic acid (Mimosine)",Mimosine,
"DL-2-Amino-3-(5-hydroxo-4-oxo-1,4-dihydro-2-pyridinyl)propanoic acid (Isomimosine)",Isomimosine,
"DL-2-Amino-3-(5-hydroxo-6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid","DL-2-Amino-3-(5-hydroxo-6-oxo-1,6-dihydro-2-pyridinyl)propanoic acid",
"L-2-Amino-3-(3-methoxy-4-oxo-1,4-dihydro-1-pyridinyl)propanoic acid (Mimosine methyl ether)",Mimosine methyl ether,
L-2-Amino-3-(2-pyridyl)propanoic acid (3-(2-Pyridyl)alanine),L-2-Amino-3-(2-pyridyl)propanoic acid (3-(2-Pyridyl)alanine),
L-2-Amino-3-(6-methyl-2-pyridyl)propanoic acid (3-(6-Methyl-2-pyridyl)alanine),L-2-Amino-3-(6-methyl-2-pyridyl)propanoic acid (3-(6-Methyl-2-pyridyl)alanine),
L-2-Amino-5-guanidopentanoic acid (Arginine),Arginine,
DL-2-Amino-3-(4-guanidinophenyl)propanoic acid,DL-2-Amino-3-(4-guanidinophenyl)propanoic acid,
DL-2-Amino-3-(4-guanidinomethylphenyl)propanoic acid,DL-2-Amino-3-(4-guanidinomethylphenyl)propanoic acid,
DL-2-Amino-3-(4-aminophenyl)propanoic acid,DL-2-Amino-3-(4-aminophenyl)propanoic acid,
DL-2-Amino-3-(4-(aminomethyl)phenyl)propanoic acid,DL-2-Amino-3-(4-(aminomethyl)phenyl)propanoic acid,
DL-2-Amino-3-(4-(dimethylamino)phenyl)propanoic acid,DL-2-Amino-3-(4-(dimethylamino)phenyl)propanoic acid,
L-[1-Carboxy-2-(4-hydroxyphenyl)ethyl]trimethylammonium (chloride) (Tyrosine betaine),Tyrosine betaine,
DL-(4-Amino-4-carboxybutyl)trimethylammonium ion (N(5)-Trimethylornithine),DL-(4-Amino-4-carboxybutyl)trimethylammonium ion (N(5)-Trimethylornithine),
N-Methylglycine (Sarcosine),Sarcosine,
N-Ethylglycine,N-Ethylglycine,
N-Propylglycine,N-Propylglycine,
N-Butylglycine,N-Butylglycine,
N-(2-Propyl)glycine,N-(2-Propyl)glycine,
